,Absolute path,Class label
1771,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0721.jpg,1
1297,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0247.jpg,1
326,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0326.jpg,0
1604,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0554.jpg,1
1313,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0263.jpg,1
452,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0452.jpg,0
1138,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0088.jpg,1
695,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0695.jpg,0
1069,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0019.jpg,1
1455,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0405.jpg,1
154,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0154.jpg,0
445,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0445.jpg,0
1173,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0123.jpg,1
877,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0877.jpg,0
61,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0061.jpg,0
2033,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0983.jpg,1
1211,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0161.jpg,1
810,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0810.jpg,0
1364,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0314.jpg,1
759,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0759.jpg,0
1950,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0900.jpg,1
1827,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0777.jpg,1
463,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0463.jpg,0
1878,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0828.jpg,1
357,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0357.jpg,0
1565,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0515.jpg,1
1371,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0321.jpg,1
1072,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0022.jpg,1
2096,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/1046.jpg,1
818,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0818.jpg,0
1407,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0357.jpg,1
1464,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0414.jpg,1
131,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0131.jpg,0
793,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0793.jpg,0
1491,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0441.jpg,1
1833,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0783.jpg,1
922,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0922.jpg,0
971,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0971.jpg,0
74,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0074.jpg,0
1156,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0106.jpg,1
853,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0853.jpg,0
750,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0750.jpg,0
845,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0845.jpg,0
826,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0826.jpg,0
1135,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0085.jpg,1
1870,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0820.jpg,1
1508,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0458.jpg,1
504,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0504.jpg,0
816,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0816.jpg,0
10,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0010.jpg,0
643,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0643.jpg,0
1280,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0230.jpg,1
36,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0036.jpg,0
1458,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0408.jpg,1
1157,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0107.jpg,1
1036,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/1036.jpg,0
1971,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0921.jpg,1
518,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0518.jpg,0
1638,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0588.jpg,1
249,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0249.jpg,0
823,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0823.jpg,0
2022,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0972.jpg,1
746,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0746.jpg,0
166,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0166.jpg,0
1574,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0524.jpg,1
906,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0906.jpg,0
701,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0701.jpg,0
1124,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0074.jpg,1
1889,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0839.jpg,1
25,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0025.jpg,0
1404,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0354.jpg,1
1913,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0863.jpg,1
552,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0552.jpg,0
1209,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0159.jpg,1
391,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0391.jpg,0
52,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0052.jpg,0
775,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0775.jpg,0
1475,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0425.jpg,1
1415,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0365.jpg,1
1972,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0922.jpg,1
1880,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0830.jpg,1
712,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0712.jpg,0
965,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0965.jpg,0
1925,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0875.jpg,1
1795,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0745.jpg,1
1471,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0421.jpg,1
1234,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0184.jpg,1
298,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0298.jpg,0
1981,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0931.jpg,1
1505,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0455.jpg,1
1120,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0070.jpg,1
1911,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0861.jpg,1
1657,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0607.jpg,1
935,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0935.jpg,0
106,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0106.jpg,0
1099,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0049.jpg,1
245,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0245.jpg,0
1049,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/1049.jpg,0
852,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0852.jpg,0
2049,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0999.jpg,1
1806,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0756.jpg,1
1523,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0473.jpg,1
1116,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0066.jpg,1
973,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0973.jpg,0
1615,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0565.jpg,1
482,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0482.jpg,0
532,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0532.jpg,0
116,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0116.jpg,0
291,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0291.jpg,0
38,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0038.jpg,0
259,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0259.jpg,0
2089,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/1039.jpg,1
2065,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/1015.jpg,1
932,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0932.jpg,0
1960,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0910.jpg,1
1306,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0256.jpg,1
1665,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0615.jpg,1
921,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0921.jpg,0
1444,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0394.jpg,1
633,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0633.jpg,0
1294,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0244.jpg,1
283,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0283.jpg,0
455,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0455.jpg,0
588,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0588.jpg,0
876,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0876.jpg,0
2050,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/1000.jpg,1
469,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0469.jpg,0
1738,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0688.jpg,1
1952,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0902.jpg,1
867,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0867.jpg,0
417,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0417.jpg,0
1251,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0201.jpg,1
292,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0292.jpg,0
1992,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0942.jpg,1
1696,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0646.jpg,1
1176,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0126.jpg,1
2024,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0974.jpg,1
572,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0572.jpg,0
1223,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0173.jpg,1
316,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0316.jpg,0
813,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0813.jpg,0
1762,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0712.jpg,1
1751,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0701.jpg,1
1383,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0333.jpg,1
1706,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0656.jpg,1
1067,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0017.jpg,1
288,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0288.jpg,0
321,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0321.jpg,0
2029,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0979.jpg,1
2004,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0954.jpg,1
392,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0392.jpg,0
201,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0201.jpg,0
577,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0577.jpg,0
916,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0916.jpg,0
1792,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0742.jpg,1
661,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0661.jpg,0
243,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0243.jpg,0
1462,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0412.jpg,1
1117,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0067.jpg,1
132,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0132.jpg,0
1728,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0678.jpg,1
1419,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0369.jpg,1
1204,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0154.jpg,1
1073,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0023.jpg,1
2041,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0991.jpg,1
1969,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0919.jpg,1
393,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0393.jpg,0
261,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0261.jpg,0
1861,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0811.jpg,1
2020,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0970.jpg,1
595,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0595.jpg,0
1277,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0227.jpg,1
1600,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0550.jpg,1
227,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0227.jpg,0
619,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0619.jpg,0
519,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0519.jpg,0
821,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0821.jpg,0
1377,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0327.jpg,1
1228,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0178.jpg,1
428,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0428.jpg,0
2019,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0969.jpg,1
766,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0766.jpg,0
190,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0190.jpg,0
317,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0317.jpg,0
1583,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0533.jpg,1
369,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0369.jpg,0
1055,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0005.jpg,1
1414,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0364.jpg,1
415,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0415.jpg,0
1678,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0628.jpg,1
1029,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/1029.jpg,0
1648,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0598.jpg,1
1959,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0909.jpg,1
1122,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0072.jpg,1
849,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0849.jpg,0
924,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0924.jpg,0
112,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0112.jpg,0
175,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0175.jpg,0
510,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0510.jpg,0
2088,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/1038.jpg,1
817,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0817.jpg,0
820,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0820.jpg,0
562,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0562.jpg,0
678,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0678.jpg,0
1677,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0627.jpg,1
920,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0920.jpg,0
869,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0869.jpg,0
2081,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/1031.jpg,1
1703,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0653.jpg,1
302,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0302.jpg,0
1541,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0491.jpg,1
718,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0718.jpg,0
887,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0887.jpg,0
649,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0649.jpg,0
1693,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0643.jpg,1
1386,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0336.jpg,1
1439,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0389.jpg,1
1345,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0295.jpg,1
1707,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0657.jpg,1
741,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0741.jpg,0
1961,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0911.jpg,1
1353,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0303.jpg,1
276,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0276.jpg,0
1435,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0385.jpg,1
1977,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0927.jpg,1
1118,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0068.jpg,1
1497,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0447.jpg,1
918,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0918.jpg,0
1159,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0109.jpg,1
728,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0728.jpg,0
1686,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0636.jpg,1
7,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0007.jpg,0
684,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0684.jpg,0
687,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0687.jpg,0
1901,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0851.jpg,1
1820,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0770.jpg,1
1807,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0757.jpg,1
1498,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0448.jpg,1
1245,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0195.jpg,1
779,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0779.jpg,0
1646,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0596.jpg,1
170,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0170.jpg,0
1872,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0822.jpg,1
870,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0870.jpg,0
1254,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0204.jpg,1
1598,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0548.jpg,1
737,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0737.jpg,0
359,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0359.jpg,0
2058,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/1008.jpg,1
585,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0585.jpg,0
2017,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0967.jpg,1
1647,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0597.jpg,1
1366,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0316.jpg,1
1766,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0716.jpg,1
899,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0899.jpg,0
361,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0361.jpg,0
1163,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0113.jpg,1
811,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0811.jpg,0
1170,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0120.jpg,1
94,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0094.jpg,0
1887,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0837.jpg,1
2072,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/1022.jpg,1
1717,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0667.jpg,1
772,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0772.jpg,0
195,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0195.jpg,0
1711,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0661.jpg,1
290,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0290.jpg,0
1450,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0400.jpg,1
1680,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0630.jpg,1
389,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0389.jpg,0
1556,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0506.jpg,1
803,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0803.jpg,0
1456,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0406.jpg,1
310,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0310.jpg,0
433,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0433.jpg,0
1989,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0939.jpg,1
1617,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0567.jpg,1
541,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0541.jpg,0
2042,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0992.jpg,1
489,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0489.jpg,0
230,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0230.jpg,0
1933,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0883.jpg,1
838,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0838.jpg,0
1013,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/1013.jpg,0
949,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0949.jpg,0
67,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0067.jpg,0
203,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0203.jpg,0
1396,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0346.jpg,1
1904,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0854.jpg,1
456,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0456.jpg,0
414,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0414.jpg,0
278,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0278.jpg,0
679,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0679.jpg,0
404,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0404.jpg,0
1916,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0866.jpg,1
1687,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0637.jpg,1
158,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0158.jpg,0
5,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0005.jpg,0
416,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0416.jpg,0
734,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0734.jpg,0
1826,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0776.jpg,1
1039,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/1039.jpg,0
1788,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0738.jpg,1
56,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0056.jpg,0
736,C:\Users\Professional\PycharmProjects\lab3\dataset\cat/0736.jpg,0
1302,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/0252.jpg,1
2085,C:\Users\Professional\PycharmProjects\lab3\dataset\dog/1035.jpg,1
